Order_ID,Customer_ID,Product_ID,Quantity,Discount,Order_Value,Profit,Order_Date
O141598,C01653,P0340,5,0,572.349963748273,46.1943625488392,2024-01-09
O569509,C01284,P0299,0,5,105.50104999110492,18.342918769306753,2023-02-16
O240973,C01082,P0479,1,10,501.3229478261537,123.01089550324899,2024-02-17
O914001,C01470,P0052,3,15,802.2817324923318,44.78478623458689,2023-12-17
O614116,C01187,P0242,4,20,1198.2181588990206,263.22253902454037,2023-12-31
O446261,C01864,P0271,1,20,1321.91485511122,329.4831977970999,2023-08-29
O190141,C01167,P0326,5,0,1429.9370130650857,359.49936528889333,2023-09-26
O741507,C00667,P0073,5,10,333.94012287188747,19.484838877592008,2023-05-29
O245250,C00390,P0476,2,20,1218.5508635472438,171.27596459705214,2023-03-27
O691063,C00423,P0320,2,0,483.67589040136687,32.066841181178496,2023-04-05
O291929,C01959,P0046,5,5,1164.781361727892,199.63368366257805,2024-02-16
O770095,C00528,P0018,2,10,1078.848404046202,60.008873684956086,2024-05-23
O902251,C01529,P0294,4,20,1270.3782287308647,102.49108053824365,2023-04-28
O116167,C01208,P0191,3,5,240.23705673226183,33.178600906593836,2024-02-24
O690296,C01788,P0114,3,0,602.8707633448541,117.62282383301704,2023-03-20
O925217,C00605,P0452,5,5,176.11264981625726,16.225284498573416,2024-01-08
O551816,C00911,P0316,4,20,1348.526840519143,375.49603767665786,2024-01-15
O594361,C00614,P0051,4,15,1431.557081366773,,2023-07-24
O909960,C00731,P0257,1,0,655.5100340519144,100.95688745097908,2023-09-03
O634714,C01361,P0259,2,0,212.4430271233431,57.73070587336647,2023-12-17
O478888,C00350,P0084,5,20,1238.0667630539187,98.54913670823188,2023-06-21
O178872,C00393,P0103,4,5,491.43211873252477,94.69205749995982,2023-11-28
O189751,C00794,P0020,1,20,749.9729884003156,211.33767037662508,2024-05-05
O248317,C01877,P0300,3,0,1478.2543223296625,279.7434176951414,2024-08-21
O924718,C00862,P0098,5,15,932.1731373327023,62.871765169869,2023-04-08
O247745,C00868,P0227,1,15,1065.3901754727508,162.16401390018567,2023-04-07
O977944,C00567,P0450,2,20,453.8397362478343,58.02405076570526,2024-05-20
O775004,C01500,P0323,4,5,126.29805652205457,37.06644006468453,2023-10-14
O456826,C00618,P0129,3,5,795.3481830088185,120.76463646778654,2024-04-13
O597425,C00021,P0275,4,20,972.8045108207053,205.3580988968728,2023-09-14
O546288,C00533,P0086,2,0,846.673360849601,223.9440927473487,2024-01-23
O430484,C01985,P0353,1,0,1314.7016460767998,175.0681807381792,2023-06-24
O316197,C01090,P0393,4,20,204.15667412072793,51.88517405391739,2023-06-20
O772818,C01352,P0359,1,10,459.7803129952935,28.98743120163275,2024-05-22
O902640,C00363,P0325,2,5,409.71011985521886,121.56064371130276,2024-05-31
O754511,C01909,P0410,4,20,886.2626237080369,202.7006640024567,2023-08-17
O980279,C01132,P0289,4,15,1023.6430257692851,109.64145659616248,2023-11-25
